Unidades de medida;Países y Continentes;Tipo de transporte según destino;Tipo de dato;Periodo;Total
Viajeros;Italia;Entradas internacionales de España;Variación anual;2021;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2020;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2019;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2018;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2017;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2016;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2015;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2014;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2013;""
Viajeros;Italia;Entradas internacionales de España;Variación anual;2012;-20,8
Viajeros;Italia;Entradas internacionales de España;Variación anual;2011;-9
Viajeros;Italia;Entradas internacionales de España;Variación anual;2010;""
Viajeros;Portugal;Salidas internacionales de España;Dato base;2021;14.617
Viajeros;Portugal;Salidas internacionales de España;Dato base;2020;15.832
Viajeros;Portugal;Salidas internacionales de España;Dato base;2019;97.286
Viajeros;Portugal;Salidas internacionales de España;Dato base;2018;93.524
Viajeros;Portugal;Salidas internacionales de España;Dato base;2017;103.514
Viajeros;Portugal;Salidas internacionales de España;Dato base;2016;104.298
Viajeros;Portugal;Salidas internacionales de España;Dato base;2015;67.819
Viajeros;Portugal;Salidas internacionales de España;Dato base;2014;96.374
Viajeros;Portugal;Salidas internacionales de España;Dato base;2013;70.685
Viajeros;Portugal;Salidas internacionales de España;Dato base;2012;53.444
Viajeros;Portugal;Salidas internacionales de España;Dato base;2011;63.127
Viajeros;Portugal;Salidas internacionales de España;Dato base;2010;62.868
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2021;-7,7
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2020;-83,7
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2019;4
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2018;-9,7
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2017;-0,8
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2016;53,8
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2015;-29,6
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2014;36,3
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2013;32,3
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2012;-15,3
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2011;0,4
Viajeros;Portugal;Salidas internacionales de España;Variación anual;2010;""
Viajeros;Portugal;Entradas internacionales de España;Dato base;2021;13.816
Viajeros;Portugal;Entradas internacionales de España;Dato base;2020;15.363
Viajeros;Portugal;Entradas internacionales de España;Dato base;2019;87.610
Viajeros;Portugal;Entradas internacionales de España;Dato base;2018;88.267
Viajeros;Portugal;Entradas internacionales de España;Dato base;2017;96.481
Viajeros;Portugal;Entradas internacionales de España;Dato base;2016;107.380
Viajeros;Portugal;Entradas internacionales de España;Dato base;2015;62.376
Viajeros;Portugal;Entradas internacionales de España;Dato base;2014;98.222
Viajeros;Portugal;Entradas internacionales de España;Dato base;2013;68.785
Viajeros;Portugal;Entradas internacionales de España;Dato base;2012;54.087
Viajeros;Portugal;Entradas internacionales de España;Dato base;2011;62.245
Viajeros;Portugal;Entradas internacionales de España;Dato base;2010;60.170
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2021;-10,1
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2020;-82,5
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2019;-0,7
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2018;-8,5
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2017;-10,1
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2016;72,1
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2015;-36,5
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2014;42,8
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2013;27,2
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2012;-13,1
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2011;3,4
Viajeros;Portugal;Entradas internacionales de España;Variación anual;2010;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2021;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2020;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2019;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2018;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2017;0
Viajeros;Suiza;Salidas internacionales de España;Dato base;2016;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2015;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2014;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2013;""
Viajeros;Suiza;Salidas internacionales de España;Dato base;2012;11.032
Viajeros;Suiza;Salidas internacionales de España;Dato base;2011;15.980
Viajeros;Suiza;Salidas internacionales de España;Dato base;2010;16.867
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2021;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2020;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2019;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2018;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2017;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2016;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2015;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2014;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2013;""
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2012;-31
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2011;-5,3
Viajeros;Suiza;Salidas internacionales de España;Variación anual;2010;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2021;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2020;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2019;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2018;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2017;0
Viajeros;Suiza;Entradas internacionales de España;Dato base;2016;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2015;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2014;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2013;""
Viajeros;Suiza;Entradas internacionales de España;Dato base;2012;10.497
Viajeros;Suiza;Entradas internacionales de España;Dato base;2011;14.982
Viajeros;Suiza;Entradas internacionales de España;Dato base;2010;16.120
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2021;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2020;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2019;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2018;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2017;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2016;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2015;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2014;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2013;""
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2012;-29,9
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2011;-7,1
Viajeros;Suiza;Entradas internacionales de España;Variación anual;2010;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2021;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2020;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2019;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2018;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2017;0
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2016;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2015;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2014;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2013;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2012;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2011;""
Viajeros;Desconocido;Salidas internacionales de España;Dato base;2010;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2021;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2020;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2019;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2018;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2017;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2016;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2015;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2014;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2013;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2012;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2011;""
Viajeros;Desconocido;Salidas internacionales de España;Variación anual;2010;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2021;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2020;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2019;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2018;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2017;0
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2016;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2015;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2014;""
Viajeros;Desconocido;Entradas internacionales de España;Dato base;2013;""
