Continente y país de destino;Continente y país de destino;Continente y país de destino;Continente y país de destino;Concepto turístico;Periodo;Total
Total;Europa;Irlanda;;Duración media de los viajes;2023M01;5,2
Total;Europa;Irlanda;;Duración media de los viajes;2022M12;7,4
Total;Europa;Irlanda;;Duración media de los viajes;2022M11;4,5
Total;Europa;Irlanda;;Duración media de los viajes;2022M10;5,9
Total;Europa;Irlanda;;Duración media de los viajes;2022M09;6,4
Total;Europa;Irlanda;;Duración media de los viajes;2022M08;8,4
Total;Europa;Irlanda;;Duración media de los viajes;2022M07;11,4
Total;Europa;Irlanda;;Duración media de los viajes;2022M06;6,3
Total;Europa;Irlanda;;Duración media de los viajes;2022M05;5,3
Total;Europa;Irlanda;;Duración media de los viajes;2022M04;5,8
Total;Europa;Irlanda;;Duración media de los viajes;2022M03;5
Total;Europa;Irlanda;;Duración media de los viajes;2022M02;6
Total;Europa;Irlanda;;Duración media de los viajes;2022M01;7,1
Total;Europa;Irlanda;;Duración media de los viajes;2021M12;8,3
Total;Europa;Irlanda;;Duración media de los viajes;2021M11;5,1
Total;Europa;Irlanda;;Duración media de los viajes;2021M10;6,5
Total;Europa;Irlanda;;Duración media de los viajes;2021M09;7,1
Total;Europa;Irlanda;;Duración media de los viajes;2021M08;9,2
Total;Europa;Irlanda;;Duración media de los viajes;2021M07;9,1
Total;Europa;Irlanda;;Duración media de los viajes;2021M06;10,1
Total;Europa;Irlanda;;Duración media de los viajes;2021M05;10,4
Total;Europa;Irlanda;;Duración media de los viajes;2021M04;10,4
Total;Europa;Irlanda;;Duración media de los viajes;2021M03;11,3
Total;Europa;Irlanda;;Duración media de los viajes;2021M02;11,6
Total;Europa;Irlanda;;Duración media de los viajes;2021M01;9,2
Total;Europa;Irlanda;;Duración media de los viajes;2020M12;14,2
Total;Europa;Irlanda;;Duración media de los viajes;2020M11;10,2
Total;Europa;Irlanda;;Duración media de los viajes;2020M10;11,6
Total;Europa;Irlanda;;Duración media de los viajes;2020M09;7,6
Total;Europa;Irlanda;;Duración media de los viajes;2020M08;12,9
Total;Europa;Irlanda;;Duración media de los viajes;2020M07;11,8
Total;Europa;Irlanda;;Duración media de los viajes;2020M06;9,6
Total;Europa;Irlanda;;Duración media de los viajes;2020M05;11,2
Total;Europa;Irlanda;;Duración media de los viajes;2020M04;10
Total;Europa;Irlanda;;Duración media de los viajes;2020M03;7
Total;Europa;Irlanda;;Duración media de los viajes;2020M02;5,4
Total;Europa;Irlanda;;Duración media de los viajes;2020M01;5,5
Total;Europa;Irlanda;;Duración media de los viajes;2019M12;6,8
Total;Europa;Irlanda;;Duración media de los viajes;2019M11;4,5
Total;Europa;Irlanda;;Duración media de los viajes;2019M10;5,8
Total;Europa;Irlanda;;Duración media de los viajes;2019M09;6,3
Total;Europa;Irlanda;;Duración media de los viajes;2019M08;9,7
Total;Europa;Irlanda;;Duración media de los viajes;2019M07;11,4
Total;Europa;Islandia;;Turistas;2023M04;3.968
Total;Europa;Islandia;;Turistas;2023M03;2.897
Total;Europa;Islandia;;Turistas;2023M02;2.037
Total;Europa;Islandia;;Turistas;2023M01;2.021
Total;Europa;Islandia;;Turistas;2022M12;2.349
Total;Europa;Islandia;;Turistas;2022M11;2.437
Total;Europa;Islandia;;Turistas;2022M10;4.445
Total;Europa;Islandia;;Turistas;2022M09;6.869
Total;Europa;Islandia;;Turistas;2022M08;9.860
Total;Europa;Islandia;;Turistas;2022M07;6.357
Total;Europa;Islandia;;Turistas;2022M06;3.273
Total;Europa;Islandia;;Turistas;2022M05;2.222
Total;Europa;Islandia;;Turistas;2022M04;2.940
Total;Europa;Islandia;;Turistas;2022M03;1.926
Total;Europa;Islandia;;Turistas;2022M02;806
Total;Europa;Islandia;;Turistas;2022M01;1.165
Total;Europa;Islandia;;Turistas;2021M12;1.397
Total;Europa;Islandia;;Turistas;2021M11;1.334
Total;Europa;Islandia;;Turistas;2021M10;3.617
Total;Europa;Islandia;;Turistas;2021M09;4.768
Total;Europa;Islandia;;Turistas;2021M08;4.861
Total;Europa;Islandia;;Turistas;2021M07;1.676
Total;Europa;Islandia;;Turistas;2021M06;367
Total;Europa;Islandia;;Turistas;2021M05;153
Total;Europa;Islandia;;Turistas;2021M04;175
Total;Europa;Islandia;;Turistas;2021M03;87
Total;Europa;Islandia;;Turistas;2021M02;36
Total;Europa;Islandia;;Turistas;2021M01;124
Total;Europa;Islandia;;Turistas;2020M12;89
Total;Europa;Islandia;;Turistas;2020M11;75
Total;Europa;Islandia;;Turistas;2020M10;132
Total;Europa;Islandia;;Turistas;2020M09;367
Total;Europa;Islandia;;Turistas;2020M08;1.981
Total;Europa;Islandia;;Turistas;2020M07;645
Total;Europa;Islandia;;Turistas;2020M06;122
Total;Europa;Islandia;;Turistas;2020M05;30
Total;Europa;Islandia;;Turistas;2020M04;42
Total;Europa;Islandia;;Turistas;2020M03;1.642
Total;Europa;Islandia;;Turistas;2020M02;2.136
Total;Europa;Islandia;;Turistas;2020M01;2.180
Total;Europa;Islandia;;Turistas;2019M12;2.179
Total;Europa;Islandia;;Turistas;2019M11;2.797
Total;Europa;Islandia;;Turistas;2019M10;3.876
Total;Europa;Islandia;;Turistas;2019M09;7.460
Total;Europa;Islandia;;Turistas;2019M08;11.102
Total;Europa;Islandia;;Turistas;2019M07;5.799
Total;Europa;Islandia;;Pernoctaciones;2023M04;28.138
Total;Europa;Islandia;;Pernoctaciones;2023M03;17.502
Total;Europa;Islandia;;Pernoctaciones;2023M02;10.580
Total;Europa;Islandia;;Pernoctaciones;2023M01;12.217
Total;Europa;Islandia;;Pernoctaciones;2022M12;14.170
Total;Europa;Islandia;;Pernoctaciones;2022M11;15.464
Total;Europa;Islandia;;Pernoctaciones;2022M10;35.349
Total;Europa;Islandia;;Pernoctaciones;2022M09;61.917
Total;Europa;Islandia;;Pernoctaciones;2022M08;92.048
Total;Europa;Islandia;;Pernoctaciones;2022M07;54.485
Total;Europa;Islandia;;Pernoctaciones;2022M06;27.172
Total;Europa;Islandia;;Pernoctaciones;2022M05;15.751
Total;Europa;Islandia;;Pernoctaciones;2022M04;21.851
Total;Europa;Islandia;;Pernoctaciones;2022M03;12.818
Total;Europa;Islandia;;Pernoctaciones;2022M02;4.583
Total;Europa;Islandia;;Pernoctaciones;2022M01;8.439
Total;Europa;Islandia;;Pernoctaciones;2021M12;8.499
Total;Europa;Islandia;;Pernoctaciones;2021M11;10.484
Total;Europa;Islandia;;Pernoctaciones;2021M10;30.136
Total;Europa;Islandia;;Pernoctaciones;2021M09;45.956
Total;Europa;Islandia;;Pernoctaciones;2021M08;49.711
Total;Europa;Islandia;;Pernoctaciones;2021M07;16.308
Total;Europa;Islandia;;Pernoctaciones;2021M06;3.822
Total;Europa;Islandia;;Pernoctaciones;2021M05;1.677
Total;Europa;Islandia;;Pernoctaciones;2021M04;1.762
Total;Europa;Islandia;;Pernoctaciones;2021M03;638
Total;Europa;Islandia;;Pernoctaciones;2021M02;441
Total;Europa;Islandia;;Pernoctaciones;2021M01;1.858
Total;Europa;Islandia;;Pernoctaciones;2020M12;.
Total;Europa;Islandia;;Pernoctaciones;2020M11;937
Total;Europa;Islandia;;Pernoctaciones;2020M10;1.905
Total;Europa;Islandia;;Pernoctaciones;2020M09;4.842
Total;Europa;Islandia;;Pernoctaciones;2020M08;24.542
Total;Europa;Islandia;;Pernoctaciones;2020M07;6.092
Total;Europa;Islandia;;Pernoctaciones;2020M06;967
Total;Europa;Islandia;;Pernoctaciones;2020M05;494
Total;Europa;Islandia;;Pernoctaciones;2020M04;513
Total;Europa;Islandia;;Pernoctaciones;2020M03;11.198
Total;Europa;Islandia;;Pernoctaciones;2020M02;13.452
Total;Europa;Islandia;;Pernoctaciones;2020M01;15.399
Total;Europa;Islandia;;Pernoctaciones;2019M12;13.938
Total;Europa;Islandia;;Pernoctaciones;2019M11;17.879
Total;Europa;Islandia;;Pernoctaciones;2019M10;29.987
Total;Europa;Islandia;;Pernoctaciones;2019M09;65.709
Total;Europa;Islandia;;Pernoctaciones;2019M08;112.961
Total;Europa;Islandia;;Pernoctaciones;2019M07;52.258
Total;Europa;Islandia;;Duración media de los viajes;2023M04;7,1
Total;Europa;Islandia;;Duración media de los viajes;2023M03;6
Total;Europa;Islandia;;Duración media de los viajes;2023M02;5,2
Total;Europa;Islandia;;Duración media de los viajes;2023M01;6
Total;Europa;Islandia;;Duración media de los viajes;2022M12;6
Total;Europa;Islandia;;Duración media de los viajes;2022M11;6,3
Total;Europa;Islandia;;Duración media de los viajes;2022M10;8
Total;Europa;Islandia;;Duración media de los viajes;2022M09;9
Total;Europa;Islandia;;Duración media de los viajes;2022M08;9,3
Total;Europa;Islandia;;Duración media de los viajes;2022M07;8,6
Total;Europa;Islandia;;Duración media de los viajes;2022M06;8,3
Total;Europa;Islandia;;Duración media de los viajes;2022M05;7,1
Total;Europa;Islandia;;Duración media de los viajes;2022M04;7,4
Total;Europa;Islandia;;Duración media de los viajes;2022M03;6,7
Total;Europa;Islandia;;Duración media de los viajes;2022M02;5,7
Total;Europa;Islandia;;Duración media de los viajes;2022M01;7,2
Total;Europa;Islandia;;Duración media de los viajes;2021M12;6,1
Total;Europa;Islandia;;Duración media de los viajes;2021M11;7,9
Total;Europa;Islandia;;Duración media de los viajes;2021M10;8,3
Total;Europa;Islandia;;Duración media de los viajes;2021M09;9,6
Total;Europa;Islandia;;Duración media de los viajes;2021M08;10,2
Total;Europa;Islandia;;Duración media de los viajes;2021M07;9,7
Total;Europa;Islandia;;Duración media de los viajes;2021M06;10,4
Total;Europa;Islandia;;Duración media de los viajes;2021M05;11
Total;Europa;Islandia;;Duración media de los viajes;2021M04;10,1
Total;Europa;Islandia;;Duración media de los viajes;2021M03;7,3
Total;Europa;Islandia;;Duración media de los viajes;2021M02;12,3
Total;Europa;Islandia;;Duración media de los viajes;2021M01;15
Total;Europa;Islandia;;Duración media de los viajes;2020M12;.
Total;Europa;Islandia;;Duración media de los viajes;2020M11;12,5
Total;Europa;Islandia;;Duración media de los viajes;2020M10;14,4
Total;Europa;Islandia;;Duración media de los viajes;2020M09;13,2
Total;Europa;Islandia;;Duración media de los viajes;2020M08;12,4
Total;Europa;Islandia;;Duración media de los viajes;2020M07;9,4
Total;Europa;Islandia;;Duración media de los viajes;2020M06;7,9
Total;Europa;Islandia;;Duración media de los viajes;2020M05;16,5
Total;Europa;Islandia;;Duración media de los viajes;2020M04;12,2
Total;Europa;Islandia;;Duración media de los viajes;2020M03;6,8
Total;Europa;Islandia;;Duración media de los viajes;2020M02;6,3
Total;Europa;Islandia;;Duración media de los viajes;2020M01;7,1
Total;Europa;Islandia;;Duración media de los viajes;2019M12;6,4
Total;Europa;Islandia;;Duración media de los viajes;2019M11;6,4
Total;Europa;Islandia;;Duración media de los viajes;2019M10;7,7
Total;Europa;Islandia;;Duración media de los viajes;2019M09;8,8
Total;Europa;Islandia;;Duración media de los viajes;2019M08;10,2
Total;Europa;Islandia;;Duración media de los viajes;2019M07;9
Total;Europa;Italia;;Turistas;2023M04;222.402
Total;Europa;Italia;;Turistas;2023M03;183.007
Total;Europa;Italia;;Turistas;2023M02;152.848
Total;Europa;Italia;;Turistas;2023M01;164.081
Total;Europa;Italia;;Turistas;2022M12;161.572
Total;Europa;Italia;;Turistas;2022M11;156.388
Total;Europa;Italia;;Turistas;2022M10;203.883
Total;Europa;Italia;;Turistas;2022M09;219.169
Total;Europa;Italia;;Turistas;2022M08;240.578
Total;Europa;Italia;;Turistas;2022M07;216.927
Total;Europa;Italia;;Turistas;2022M06;193.725
Total;Europa;Italia;;Turistas;2022M05;171.611
Total;Europa;Italia;;Turistas;2022M04;180.550
Total;Europa;Italia;;Turistas;2022M03;138.245
Total;Europa;Italia;;Turistas;2022M02;96.854
Total;Europa;Italia;;Turistas;2022M01;92.434
Total;Europa;Italia;;Turistas;2021M12;137.913
Total;Europa;Italia;;Turistas;2021M11;140.126
Total;Europa;Italia;;Turistas;2021M10;160.634
Total;Europa;Italia;;Turistas;2021M09;158.335
Total;Europa;Italia;;Turistas;2021M08;166.569
Total;Europa;Italia;;Turistas;2021M07;103.533
Total;Europa;Italia;;Turistas;2021M06;57.714
Total;Europa;Italia;;Turistas;2021M05;30.243
Total;Europa;Italia;;Turistas;2021M04;20.153
Total;Europa;Italia;;Turistas;2021M03;20.018
Total;Europa;Italia;;Turistas;2021M02;14.592
Total;Europa;Italia;;Turistas;2021M01;17.120
Total;Europa;Italia;;Turistas;2020M12;19.512
Total;Europa;Italia;;Turistas;2020M11;17.121
Total;Europa;Italia;;Turistas;2020M10;37.557
Total;Europa;Italia;;Turistas;2020M09;41.316
Total;Europa;Italia;;Turistas;2020M08;61.573
Total;Europa;Italia;;Turistas;2020M07;55.567
Total;Europa;Italia;;Turistas;2020M06;11.696
Total;Europa;Italia;;Turistas;2020M05;8.555
Total;Europa;Italia;;Turistas;2020M04;5.155
Total;Europa;Italia;;Turistas;2020M03;31.668
Total;Europa;Italia;;Turistas;2020M02;160.754
Total;Europa;Italia;;Turistas;2020M01;175.284
Total;Europa;Italia;;Turistas;2019M12;178.918
Total;Europa;Italia;;Turistas;2019M11;169.027
Total;Europa;Italia;;Turistas;2019M10;191.694
Total;Europa;Italia;;Turistas;2019M09;249.079
Total;Europa;Italia;;Turistas;2019M08;275.282
Total;Europa;Italia;;Turistas;2019M07;214.374
Total;Europa;Italia;;Pernoctaciones;2023M04;1.025.572
Total;Europa;Italia;;Pernoctaciones;2023M03;763.239
Total;Europa;Italia;;Pernoctaciones;2023M02;617.257
Total;Europa;Italia;;Pernoctaciones;2023M01;852.419
Total;Europa;Italia;;Pernoctaciones;2022M12;778.234
Total;Europa;Italia;;Pernoctaciones;2022M11;662.099
Total;Europa;Italia;;Pernoctaciones;2022M10;962.620
Total;Europa;Italia;;Pernoctaciones;2022M09;1.161.657
Total;Europa;Italia;;Pernoctaciones;2022M08;1.779.614
Total;Europa;Italia;;Pernoctaciones;2022M07;1.277.379
Total;Europa;Italia;;Pernoctaciones;2022M06;928.662
Total;Europa;Italia;;Pernoctaciones;2022M05;723.412
Total;Europa;Italia;;Pernoctaciones;2022M04;866.919
Total;Europa;Italia;;Pernoctaciones;2022M03;570.389
Total;Europa;Italia;;Pernoctaciones;2022M02;390.804
Total;Europa;Italia;;Pernoctaciones;2022M01;568.641
Total;Europa;Italia;;Pernoctaciones;2021M12;687.854
Total;Europa;Italia;;Pernoctaciones;2021M11;595.571
Total;Europa;Italia;;Pernoctaciones;2021M10;767.136
Total;Europa;Italia;;Pernoctaciones;2021M09;887.855
Total;Europa;Italia;;Pernoctaciones;2021M08;1.309.046
Total;Europa;Italia;;Pernoctaciones;2021M07;624.144
Total;Europa;Italia;;Pernoctaciones;2021M06;306.866
Total;Europa;Italia;;Pernoctaciones;2021M05;164.377
Total;Europa;Italia;;Pernoctaciones;2021M04;129.968
Total;Europa;Italia;;Pernoctaciones;2021M03;122.282
Total;Europa;Italia;;Pernoctaciones;2021M02;84.017
Total;Europa;Italia;;Pernoctaciones;2021M01;128.435
Total;Europa;Italia;;Pernoctaciones;2020M12;136.961
Total;Europa;Italia;;Pernoctaciones;2020M11;116.432
Total;Europa;Italia;;Pernoctaciones;2020M10;237.182
Total;Europa;Italia;;Pernoctaciones;2020M09;261.351
Total;Europa;Italia;;Pernoctaciones;2020M08;662.739
Total;Europa;Italia;;Pernoctaciones;2020M07;410.322
Total;Europa;Italia;;Pernoctaciones;2020M06;65.799
Total;Europa;Italia;;Pernoctaciones;2020M05;46.320
Total;Europa;Italia;;Pernoctaciones;2020M04;28.753
Total;Europa;Italia;;Pernoctaciones;2020M03;183.444
Total;Europa;Italia;;Pernoctaciones;2020M02;700.888
Total;Europa;Italia;;Pernoctaciones;2020M01;960.387
Total;Europa;Italia;;Pernoctaciones;2019M12;865.481
Total;Europa;Italia;;Pernoctaciones;2019M11;714.431
Total;Europa;Italia;;Pernoctaciones;2019M10;897.330
Total;Europa;Italia;;Pernoctaciones;2019M09;1.388.868
Total;Europa;Italia;;Pernoctaciones;2019M08;2.255.525
Total;Europa;Italia;;Pernoctaciones;2019M07;1.300.286
Total;Europa;Italia;;Duración media de los viajes;2023M04;4,6
Total;Europa;Italia;;Duración media de los viajes;2023M03;4,2
Total;Europa;Italia;;Duración media de los viajes;2023M02;4
Total;Europa;Italia;;Duración media de los viajes;2023M01;5,2
Total;Europa;Italia;;Duración media de los viajes;2022M12;4,8
Total;Europa;Italia;;Duración media de los viajes;2022M11;4,2
Total;Europa;Italia;;Duración media de los viajes;2022M10;4,7
Total;Europa;Italia;;Duración media de los viajes;2022M09;5,3
Total;Europa;Italia;;Duración media de los viajes;2022M08;7,4
Total;Europa;Italia;;Duración media de los viajes;2022M07;5,9
Total;Europa;Italia;;Duración media de los viajes;2022M06;4,8
Total;Europa;Italia;;Duración media de los viajes;2022M05;4,2
Total;Europa;Italia;;Duración media de los viajes;2022M04;4,8
Total;Europa;Italia;;Duración media de los viajes;2022M03;4,1
Total;Europa;Italia;;Duración media de los viajes;2022M02;4
Total;Europa;Italia;;Duración media de los viajes;2022M01;6,2
Total;Europa;Italia;;Duración media de los viajes;2021M12;5
Total;Europa;Italia;;Duración media de los viajes;2021M11;4,3
Total;Europa;Italia;;Duración media de los viajes;2021M10;4,8
Total;Europa;Italia;;Duración media de los viajes;2021M09;5,6
Total;Europa;Italia;;Duración media de los viajes;2021M08;7,9
Total;Europa;Italia;;Duración media de los viajes;2021M07;6
Total;Europa;Italia;;Duración media de los viajes;2021M06;5,3
Total;Europa;Italia;;Duración media de los viajes;2021M05;5,4
Total;Europa;Italia;;Duración media de los viajes;2021M04;6,4
Total;Europa;Italia;;Duración media de los viajes;2021M03;6,1
Total;Europa;Italia;;Duración media de los viajes;2021M02;5,8
Total;Europa;Italia;;Duración media de los viajes;2021M01;7,5
Total;Europa;Italia;;Duración media de los viajes;2020M12;7
Total;Europa;Italia;;Duración media de los viajes;2020M11;6,8
Total;Europa;Italia;;Duración media de los viajes;2020M10;6,3
Total;Europa;Italia;;Duración media de los viajes;2020M09;6,3
Total;Europa;Italia;;Duración media de los viajes;2020M08;10,8
Total;Europa;Italia;;Duración media de los viajes;2020M07;7,4
Total;Europa;Italia;;Duración media de los viajes;2020M06;5,6
Total;Europa;Italia;;Duración media de los viajes;2020M05;5,4
Total;Europa;Italia;;Duración media de los viajes;2020M04;5,6
Total;Europa;Italia;;Duración media de los viajes;2020M03;5,8
Total;Europa;Italia;;Duración media de los viajes;2020M02;4,4
Total;Europa;Italia;;Duración media de los viajes;2020M01;5,5
Total;Europa;Italia;;Duración media de los viajes;2019M12;4,8
Total;Europa;Italia;;Duración media de los viajes;2019M11;4,2
Total;Europa;Italia;;Duración media de los viajes;2019M10;4,7
Total;Europa;Italia;;Duración media de los viajes;2019M09;5,6
Total;Europa;Italia;;Duración media de los viajes;2019M08;8,2
Total;Europa;Italia;;Duración media de los viajes;2019M07;6,1
Total;Europa;Letonia;;Turistas;2023M04;1.309
Total;Europa;Letonia;;Turistas;2023M03;794
Total;Europa;Letonia;;Turistas;2023M02;721
Total;Europa;Letonia;;Turistas;2023M01;1.116
Total;Europa;Letonia;;Turistas;2022M12;1.111
Total;Europa;Letonia;;Turistas;2022M11;799
Total;Europa;Letonia;;Turistas;2022M10;1.106
Total;Europa;Letonia;;Turistas;2022M09;1.209
Total;Europa;Letonia;;Turistas;2022M08;1.611
Total;Europa;Letonia;;Turistas;2022M07;1.589
Total;Europa;Letonia;;Turistas;2022M06;1.066
Total;Europa;Letonia;;Turistas;2022M05;867
Total;Europa;Letonia;;Turistas;2022M04;817
Total;Europa;Letonia;;Turistas;2022M03;624
Total;Europa;Letonia;;Turistas;2022M02;416
Total;Europa;Letonia;;Turistas;2022M01;732
Total;Europa;Letonia;;Turistas;2021M12;723
Total;Europa;Letonia;;Turistas;2021M11;353
Total;Europa;Letonia;;Turistas;2021M10;685
Total;Europa;Letonia;;Turistas;2021M09;701
Total;Europa;Letonia;;Turistas;2021M08;1.069
Total;Europa;Letonia;;Turistas;2021M07;657
Total;Europa;Letonia;;Turistas;2021M06;267
Total;Europa;Letonia;;Turistas;2021M05;136
Total;Europa;Letonia;;Turistas;2021M04;109
Total;Europa;Letonia;;Turistas;2021M03;75
Total;Europa;Letonia;;Turistas;2021M02;141
Total;Europa;Letonia;;Turistas;2021M01;408
Total;Europa;Letonia;;Turistas;2020M12;184
Total;Europa;Letonia;;Turistas;2020M11;132
Total;Europa;Letonia;;Turistas;2020M10;139
Total;Europa;Letonia;;Turistas;2020M09;203
Total;Europa;Letonia;;Turistas;2020M08;487
Total;Europa;Letonia;;Turistas;2020M07;606
Total;Europa;Letonia;;Turistas;2020M06;114
Total;Europa;Letonia;;Turistas;2020M05;47
Total;Europa;Letonia;;Turistas;2020M04;31
Total;Europa;Letonia;;Turistas;2020M03;356
Total;Europa;Letonia;;Turistas;2020M02;735
Total;Europa;Letonia;;Turistas;2020M01;1.070
Total;Europa;Letonia;;Turistas;2019M12;1.109
Total;Europa;Letonia;;Turistas;2019M11;918
Total;Europa;Letonia;;Turistas;2019M10;1.139
Total;Europa;Letonia;;Turistas;2019M09;1.758
Total;Europa;Letonia;;Turistas;2019M08;2.797
Total;Europa;Letonia;;Turistas;2019M07;1.805
Total;Europa;Letonia;;Pernoctaciones;2023M04;7.745
Total;Europa;Letonia;;Pernoctaciones;2023M03;4.885
Total;Europa;Letonia;;Pernoctaciones;2023M02;4.775
Total;Europa;Letonia;;Pernoctaciones;2023M01;8.651
Total;Europa;Letonia;;Pernoctaciones;2022M12;6.538
Total;Europa;Letonia;;Pernoctaciones;2022M11;4.590
Total;Europa;Letonia;;Pernoctaciones;2022M10;6.154
Total;Europa;Letonia;;Pernoctaciones;2022M09;8.632
Total;Europa;Letonia;;Pernoctaciones;2022M08;14.013
Total;Europa;Letonia;;Pernoctaciones;2022M07;11.586
Total;Europa;Letonia;;Pernoctaciones;2022M06;7.036
Total;Europa;Letonia;;Pernoctaciones;2022M05;4.629
Total;Europa;Letonia;;Pernoctaciones;2022M04;4.999
Total;Europa;Letonia;;Pernoctaciones;2022M03;3.908
Total;Europa;Letonia;;Pernoctaciones;2022M02;2.936
Total;Europa;Letonia;;Pernoctaciones;2022M01;6.207
Total;Europa;Letonia;;Pernoctaciones;2021M12;5.426
Total;Europa;Letonia;;Pernoctaciones;2021M11;2.812
Total;Europa;Letonia;;Pernoctaciones;2021M10;4.269
Total;Europa;Letonia;;Pernoctaciones;2021M09;6.398
Total;Europa;Letonia;;Pernoctaciones;2021M08;10.448
Total;Europa;Letonia;;Pernoctaciones;2021M07;5.986
Total;Europa;Letonia;;Pernoctaciones;2021M06;2.312
Total;Europa;Letonia;;Pernoctaciones;2021M05;1.396
Total;Europa;Letonia;;Pernoctaciones;2021M04;926
Total;Europa;Letonia;;Pernoctaciones;2021M03;896
Total;Europa;Letonia;;Pernoctaciones;2021M02;1.627
Total;Europa;Letonia;;Pernoctaciones;2021M01;4.296
Total;Europa;Letonia;;Pernoctaciones;2020M12;1.786
Total;Europa;Letonia;;Pernoctaciones;2020M11;1.124
Total;Europa;Letonia;;Pernoctaciones;2020M10;1.800
Total;Europa;Letonia;;Pernoctaciones;2020M09;1.742
Total;Europa;Letonia;;Pernoctaciones;2020M08;.
Total;Europa;Letonia;;Pernoctaciones;2020M07;6.599
Total;Europa;Letonia;;Pernoctaciones;2020M06;865
Total;Europa;Letonia;;Pernoctaciones;2020M05;609
Total;Europa;Letonia;;Pernoctaciones;2020M04;372
Total;Europa;Letonia;;Pernoctaciones;2020M03;2.768
Total;Europa;Letonia;;Pernoctaciones;2020M02;4.123
Total;Europa;Letonia;;Pernoctaciones;2020M01;9.059
Total;Europa;Letonia;;Pernoctaciones;2019M12;6.724
Total;Europa;Letonia;;Pernoctaciones;2019M11;4.197
Total;Europa;Letonia;;Pernoctaciones;2019M10;5.888
Total;Europa;Letonia;;Pernoctaciones;2019M09;11.778
Total;Europa;Letonia;;Pernoctaciones;2019M08;23.468
Total;Europa;Letonia;;Pernoctaciones;2019M07;13.037
Total;Europa;Letonia;;Duración media de los viajes;2023M04;5,9
Total;Europa;Letonia;;Duración media de los viajes;2023M03;6,2
Total;Europa;Letonia;;Duración media de los viajes;2023M02;6,6
Total;Europa;Letonia;;Duración media de los viajes;2023M01;7,8
Total;Europa;Letonia;;Duración media de los viajes;2022M12;5,9
Total;Europa;Letonia;;Duración media de los viajes;2022M11;5,7
Total;Europa;Letonia;;Duración media de los viajes;2022M10;5,6
Total;Europa;Letonia;;Duración media de los viajes;2022M09;7,1
Total;Europa;Letonia;;Duración media de los viajes;2022M08;8,7
Total;Europa;Letonia;;Duración media de los viajes;2022M07;7,3
Total;Europa;Letonia;;Duración media de los viajes;2022M06;6,6
Total;Europa;Letonia;;Duración media de los viajes;2022M05;5,3
Total;Europa;Letonia;;Duración media de los viajes;2022M04;6,1
Total;Europa;Letonia;;Duración media de los viajes;2022M03;6,3
Total;Europa;Letonia;;Duración media de los viajes;2022M02;7,1
Total;Europa;Letonia;;Duración media de los viajes;2022M01;8,5
Total;Europa;Letonia;;Duración media de los viajes;2021M12;7,5
Total;Europa;Letonia;;Duración media de los viajes;2021M11;8
Total;Europa;Letonia;;Duración media de los viajes;2021M10;6,2
Total;Europa;Letonia;;Duración media de los viajes;2021M09;9,1
Total;Europa;Letonia;;Duración media de los viajes;2021M08;9,8
Total;Europa;Letonia;;Duración media de los viajes;2021M07;9,1
Total;Europa;Letonia;;Duración media de los viajes;2021M06;8,7
Total;Europa;Letonia;;Duración media de los viajes;2021M05;10,3
Total;Europa;Letonia;;Duración media de los viajes;2021M04;8,5
Total;Europa;Letonia;;Duración media de los viajes;2021M03;11,9
Total;Europa;Letonia;;Duración media de los viajes;2021M02;11,5
Total;Europa;Letonia;;Duración media de los viajes;2021M01;10,5
Total;Europa;Letonia;;Duración media de los viajes;2020M12;9,7
Total;Europa;Letonia;;Duración media de los viajes;2020M11;8,5
Total;Europa;Letonia;;Duración media de los viajes;2020M10;12,9
Total;Europa;Letonia;;Duración media de los viajes;2020M09;8,6
Total;Europa;Letonia;;Duración media de los viajes;2020M08;.
Total;Europa;Letonia;;Duración media de los viajes;2020M07;10,9
Total;Europa;Letonia;;Duración media de los viajes;2020M06;7,6
Total;Europa;Letonia;;Duración media de los viajes;2020M05;13
Total;Europa;Letonia;;Duración media de los viajes;2020M04;12
Total;Europa;Letonia;;Duración media de los viajes;2020M03;7,8
Total;Europa;Letonia;;Duración media de los viajes;2020M02;5,6
Total;Europa;Letonia;;Duración media de los viajes;2020M01;8,5
Total;Europa;Letonia;;Duración media de los viajes;2019M12;6,1
Total;Europa;Letonia;;Duración media de los viajes;2019M11;4,6
Total;Europa;Letonia;;Duración media de los viajes;2019M10;5,2
Total;Europa;Letonia;;Duración media de los viajes;2019M09;6,7
Total;Europa;Letonia;;Duración media de los viajes;2019M08;8,4
Total;Europa;Letonia;;Duración media de los viajes;2019M07;7,2
Total;Europa;Liechtenstein;;Turistas;2023M04;51
Total;Europa;Liechtenstein;;Turistas;2023M03;57
Total;Europa;Liechtenstein;;Turistas;2023M02;.
Total;Europa;Liechtenstein;;Turistas;2023M01;50
Total;Europa;Liechtenstein;;Turistas;2022M12;53
Total;Europa;Liechtenstein;;Turistas;2022M11;46
Total;Europa;Liechtenstein;;Turistas;2022M10;54
Total;Europa;Liechtenstein;;Turistas;2022M09;79
Total;Europa;Liechtenstein;;Turistas;2022M08;35
Total;Europa;Liechtenstein;;Turistas;2022M07;63
Total;Europa;Liechtenstein;;Turistas;2022M06;61
Total;Europa;Liechtenstein;;Turistas;2022M05;38
Total;Europa;Liechtenstein;;Turistas;2022M04;.
Total;Europa;Liechtenstein;;Turistas;2022M03;.
