Continente y país de destino;Continente y país de destino;Continente y país de destino;Continente y país de destino;Concepto turístico;Periodo;Total
Total;;;;Duración media de los viajes;2020M01;5,1
Total;;;;Duración media de los viajes;2019M12;4,6
Total;;;;Duración media de los viajes;2019M11;4,3
Total;;;;Duración media de los viajes;2019M10;4,7
Total;;;;Duración media de los viajes;2019M09;5,3
Total;;;;Duración media de los viajes;2019M08;7,4
Total;;;;Duración media de los viajes;2019M07;5,7
Total;Europa;;;Turistas;2023M04;2.113.048
Total;Europa;;;Turistas;2023M03;1.790.512
Total;Europa;;;Turistas;2023M02;1.537.367
Total;Europa;;;Turistas;2023M01;1.716.120
Total;Europa;;;Turistas;2022M12;2.083.313
Total;Europa;;;Turistas;2022M11;1.614.245
Total;Europa;;;Turistas;2022M10;1.857.223
Total;Europa;;;Turistas;2022M09;1.999.580
Total;Europa;;;Turistas;2022M08;2.572.939
Total;Europa;;;Turistas;2022M07;2.197.318
Total;Europa;;;Turistas;2022M06;1.846.957
Total;Europa;;;Turistas;2022M05;1.580.700
Total;Europa;;;Turistas;2022M04;1.756.998
Total;Europa;;;Turistas;2022M03;1.409.129
Total;Europa;;;Turistas;2022M02;1.070.381
Total;Europa;;;Turistas;2022M01;1.240.550
Total;Europa;;;Turistas;2021M12;1.604.525
Total;Europa;;;Turistas;2021M11;1.390.567
Total;Europa;;;Turistas;2021M10;1.633.713
Total;Europa;;;Turistas;2021M09;1.571.176
Total;Europa;;;Turistas;2021M08;1.983.796
Total;Europa;;;Turistas;2021M07;1.306.571
Total;Europa;;;Turistas;2021M06;949.139
Total;Europa;;;Turistas;2021M05;759.496
Total;Europa;;;Turistas;2021M04;520.528
Total;Europa;;;Turistas;2021M03;505.355
Total;Europa;;;Turistas;2021M02;338.818
Total;Europa;;;Turistas;2021M01;410.815
Total;Europa;;;Turistas;2020M12;463.515
Total;Europa;;;Turistas;2020M11;377.124
Total;Europa;;;Turistas;2020M10;731.972
Total;Europa;;;Turistas;2020M09;800.710
Total;Europa;;;Turistas;2020M08;1.154.105
Total;Europa;;;Turistas;2020M07;872.579
Total;Europa;;;Turistas;2020M06;274.157
Total;Europa;;;Turistas;2020M05;198.029
Total;Europa;;;Turistas;2020M04;123.284
Total;Europa;;;Turistas;2020M03;743.085
Total;Europa;;;Turistas;2020M02;1.466.658
Total;Europa;;;Turistas;2020M01;1.683.032
Total;Europa;;;Turistas;2019M12;2.059.167
Total;Europa;;;Turistas;2019M11;1.491.348
Total;Europa;;;Turistas;2019M10;1.550.557
Total;Europa;;;Turistas;2019M09;2.116.789
Total;Europa;;;Turistas;2019M08;2.700.909
Total;Europa;;;Turistas;2019M07;1.954.114
Total;Europa;;;Pernoctaciones;2023M04;7.634.351
Total;Europa;;;Pernoctaciones;2023M03;6.001.502
Total;Europa;;;Pernoctaciones;2023M02;5.199.417
Total;Europa;;;Pernoctaciones;2023M01;6.840.554
Total;Europa;;;Pernoctaciones;2022M12;8.012.647
Total;Europa;;;Pernoctaciones;2022M11;5.509.970
Total;Europa;;;Pernoctaciones;2022M10;6.875.163
Total;Europa;;;Pernoctaciones;2022M09;8.426.320
Total;Europa;;;Pernoctaciones;2022M08;13.995.286
Total;Europa;;;Pernoctaciones;2022M07;9.994.649
Total;Europa;;;Pernoctaciones;2022M06;6.803.806
Total;Europa;;;Pernoctaciones;2022M05;5.313.020
Total;Europa;;;Pernoctaciones;2022M04;6.720.579
Total;Europa;;;Pernoctaciones;2022M03;4.798.549
Total;Europa;;;Pernoctaciones;2022M02;3.528.580
Total;Europa;;;Pernoctaciones;2022M01;5.034.758
Total;Europa;;;Pernoctaciones;2021M12;6.381.525
Total;Europa;;;Pernoctaciones;2021M11;4.768.628
Total;Europa;;;Pernoctaciones;2021M10;6.051.695
Total;Europa;;;Pernoctaciones;2021M09;6.733.364
Total;Europa;;;Pernoctaciones;2021M08;10.725.708
Total;Europa;;;Pernoctaciones;2021M07;5.623.718
Total;Europa;;;Pernoctaciones;2021M06;3.316.092
Total;Europa;;;Pernoctaciones;2021M05;2.389.221
Total;Europa;;;Pernoctaciones;2021M04;1.920.883
Total;Europa;;;Pernoctaciones;2021M03;1.748.143
Total;Europa;;;Pernoctaciones;2021M02;1.183.639
Total;Europa;;;Pernoctaciones;2021M01;1.662.317
Total;Europa;;;Pernoctaciones;2020M12;2.377.524
Total;Europa;;;Pernoctaciones;2020M11;1.719.958
Total;Europa;;;Pernoctaciones;2020M10;3.128.780
Total;Europa;;;Pernoctaciones;2020M09;3.343.552
Total;Europa;;;Pernoctaciones;2020M08;7.635.177
Total;Europa;;;Pernoctaciones;2020M07;4.390.784
Total;Europa;;;Pernoctaciones;2020M06;1.096.022
Total;Europa;;;Pernoctaciones;2020M05;832.194
Total;Europa;;;Pernoctaciones;2020M04;563.603
Total;Europa;;;Pernoctaciones;2020M03;3.152.296
Total;Europa;;;Pernoctaciones;2020M02;5.688.769
Total;Europa;;;Pernoctaciones;2020M01;7.740.450
Total;Europa;;;Pernoctaciones;2019M12;8.741.316
